asyncio - DEBUG - Using selector: KqueueSelector
root - INFO - Track: 15WLFtkW9WgirercvrCmSW. Link: https://api.spotify.com/v1/tracks/15WLFtkW9WgirercvrCmSW
root - INFO - Track: 7e89621JPkKaeDSTQ3avtg. Link: https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg
root - INFO - Track: 3LQTDJfB7YLTj8qEecNNkq. Link: https://api.spotify.com/v1/tracks/3LQTDJfB7YLTj8qEecNNkq
root - INFO - Track: 5EWPGh7jbTNO2wakv8LjUI. Link: https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI
root - INFO - Track: 1ju7EsSGvRybSNEsRvc7qY. Link: https://api.spotify.com/v1/tracks/1ju7EsSGvRybSNEsRvc7qY
root - INFO - Track: 6PPhp1qpAjLUxQr75vSD4H. Link: https://api.spotify.com/v1/tracks/6PPhp1qpAjLUxQr75vSD4H
root - INFO - Track: 64sn7wgJfeQKY3Jisnl59w. Link: https://api.spotify.com/v1/tracks/64sn7wgJfeQKY3Jisnl59w
root - INFO - Track: 0x2wtJbtJrox3SDmnMj97x. Link: https://api.spotify.com/v1/tracks/0x2wtJbtJrox3SDmnMj97x
root - INFO - Track: 0uZs7p6cbEUNwGMdfNj9Kk. Link: https://api.spotify.com/v1/tracks/0uZs7p6cbEUNwGMdfNj9Kk
root - INFO - Track: 12WiGqEs3t5hrzBJTe1K0P. Link: https://api.spotify.com/v1/tracks/12WiGqEs3t5hrzBJTe1K0P
root - INFO - Track: 5ftkCxdoFGmkXbm5zgu0lS. Link: https://api.spotify.com/v1/tracks/5ftkCxdoFGmkXbm5zgu0lS
root - INFO - Track: 2OOcagX0sr4SQuBbHJkE5I. Link: https://api.spotify.com/v1/tracks/2OOcagX0sr4SQuBbHJkE5I
root - INFO - Track: 02UFwtmJ0ogLQWMx43Okuh. Link: https://api.spotify.com/v1/tracks/02UFwtmJ0ogLQWMx43Okuh
root - INFO - Track: 0ZQmpf5gk4k5VMopcAtyAc. Link: https://api.spotify.com/v1/tracks/0ZQmpf5gk4k5VMopcAtyAc
root - INFO - Track: 52DKGPMQ21DauCR19pQ0BK. Link: https://api.spotify.com/v1/tracks/52DKGPMQ21DauCR19pQ0BK
root - INFO - Track: 07xYMBIPw1Oan0BreDq6lr. Link: https://api.spotify.com/v1/tracks/07xYMBIPw1Oan0BreDq6lr
root - INFO - Track: 17jdqGUsxfqm9n2HnbWSYq. Link: https://api.spotify.com/v1/tracks/17jdqGUsxfqm9n2HnbWSYq
root - INFO - Track: 2UQWW8rhNJo5tBt77LnbZH. Link: https://api.spotify.com/v1/tracks/2UQWW8rhNJo5tBt77LnbZH
root - INFO - Track: 5rHGRbh5F1oFQ4CdpzFyhN. Link: https://api.spotify.com/v1/tracks/5rHGRbh5F1oFQ4CdpzFyhN
root - INFO - Track: 631HQHEfc35E2YcSo6rIbl. Link: https://api.spotify.com/v1/tracks/631HQHEfc35E2YcSo6rIbl
root - INFO - Track: 6F6DxQ3XjToEHX1e2KKSbg. Link: https://api.spotify.com/v1/tracks/6F6DxQ3XjToEHX1e2KKSbg
root - INFO - Track: 7BgSFwhsWpEcUn4IKfpZbQ. Link: https://api.spotify.com/v1/tracks/7BgSFwhsWpEcUn4IKfpZbQ
root - INFO - Track: 5ugzDiilhy6ILKmKfhEzd7. Link: https://api.spotify.com/v1/tracks/5ugzDiilhy6ILKmKfhEzd7
root - INFO - Track: 2oDqmfa2g8W893LlwJG1qu. Link: https://api.spotify.com/v1/tracks/2oDqmfa2g8W893LlwJG1qu
root - INFO - Track: 0m1DJ5Jkv3kdnGrcZsJFmC. Link: https://api.spotify.com/v1/tracks/0m1DJ5Jkv3kdnGrcZsJFmC
root - INFO - Track: 1lo9k4PrxFd5Np4cAxXoKo. Link: https://api.spotify.com/v1/tracks/1lo9k4PrxFd5Np4cAxXoKo
root - INFO - Track: 3ckd4YA4LcD3j50rfIVwUe. Link: https://api.spotify.com/v1/tracks/3ckd4YA4LcD3j50rfIVwUe
root - INFO - Track: 0XfNjyJcb7d2ZAscVM4K7J. Link: https://api.spotify.com/v1/tracks/0XfNjyJcb7d2ZAscVM4K7J
root - INFO - Track: 0ypg59NyOVCpWVzd0SUsT5. Link: https://api.spotify.com/v1/tracks/0ypg59NyOVCpWVzd0SUsT5
root - INFO - Track: 2jYtPnsurj7BTsGW6b3hgb. Link: https://api.spotify.com/v1/tracks/2jYtPnsurj7BTsGW6b3hgb
root - INFO - Track: 75Ds4Zq9dfMgS0BypKrQNN. Link: https://api.spotify.com/v1/tracks/75Ds4Zq9dfMgS0BypKrQNN
root - INFO - Track: 59FwEQpuagQZQVP71h9OIq. Link: https://api.spotify.com/v1/tracks/59FwEQpuagQZQVP71h9OIq
root - INFO - Track: 1S30kHvkkdMkcuCTGSgS41. Link: https://api.spotify.com/v1/tracks/1S30kHvkkdMkcuCTGSgS41
root - INFO - Track: 2Mv8In1IykWH5oLDc66PRC. Link: https://api.spotify.com/v1/tracks/2Mv8In1IykWH5oLDc66PRC
root - INFO - Track: 14tKBoKXxGakkoEmYuFfor. Link: https://api.spotify.com/v1/tracks/14tKBoKXxGakkoEmYuFfor
root - INFO - Track: 12s8P9IFXjJWwVnX7u26ca. Link: https://api.spotify.com/v1/tracks/12s8P9IFXjJWwVnX7u26ca
root - INFO - Track: 06UVb2bREPv8hvioVkaMvC. Link: https://api.spotify.com/v1/tracks/06UVb2bREPv8hvioVkaMvC
root - INFO - Track: 3o1nX61oecxnqXieA2ma0U. Link: https://api.spotify.com/v1/tracks/3o1nX61oecxnqXieA2ma0U
root - INFO - Track: 603q8qCfQVX7uRVnDpRpqb. Link: https://api.spotify.com/v1/tracks/603q8qCfQVX7uRVnDpRpqb
root - INFO - Track: 0hZpRFdaq34ykHEwvWbviP. Link: https://api.spotify.com/v1/tracks/0hZpRFdaq34ykHEwvWbviP
root - INFO - Track: 5mc6EyF1OIEOhAkD0Gg9Lc. Link: https://api.spotify.com/v1/tracks/5mc6EyF1OIEOhAkD0Gg9Lc
root - INFO - Track: 3aN2V18W3EiW7eg5tHALpF. Link: https://api.spotify.com/v1/tracks/3aN2V18W3EiW7eg5tHALpF
root - INFO - Track: 3XOVanRi3prWDEZQiZTlYx. Link: https://api.spotify.com/v1/tracks/3XOVanRi3prWDEZQiZTlYx
root - INFO - Track: 4fQMGlCawbTkH9yPPZ49kP. Link: https://api.spotify.com/v1/tracks/4fQMGlCawbTkH9yPPZ49kP
root - INFO - Track: 6KKcey1w86oP0qxN8frbfD. Link: https://api.spotify.com/v1/tracks/6KKcey1w86oP0qxN8frbfD
root - INFO - Track: 1VQafOMVQSAngQwX8qe0FS. Link: https://api.spotify.com/v1/tracks/1VQafOMVQSAngQwX8qe0FS
root - INFO - Track: 1XCqGflyHjZAE1BnRqWUc9. Link: https://api.spotify.com/v1/tracks/1XCqGflyHjZAE1BnRqWUc9
root - INFO - Track: 3Q031ckN7rwljKZhEQvvcR. Link: https://api.spotify.com/v1/tracks/3Q031ckN7rwljKZhEQvvcR
root - INFO - Track: 4lkwEgSppKli27thHdeRgc. Link: https://api.spotify.com/v1/tracks/4lkwEgSppKli27thHdeRgc
root - INFO - Track: 7viT9kDjq8PIx57sRCID0b. Link: https://api.spotify.com/v1/tracks/7viT9kDjq8PIx57sRCID0b
root - INFO - Track: 4QjiDW3IsWrWNynFCIRz7K. Link: https://api.spotify.com/v1/tracks/4QjiDW3IsWrWNynFCIRz7K
root - INFO - Track: 2hiyBTmktBYzvLixq5V2v4. Link: https://api.spotify.com/v1/tracks/2hiyBTmktBYzvLixq5V2v4
root - INFO - Track: 5gFlfviA4rdCIe2UPTi1yU. Link: https://api.spotify.com/v1/tracks/5gFlfviA4rdCIe2UPTi1yU
root - INFO - Track: 06yzME6dtXmBFO4DB5rVaT. Link: https://api.spotify.com/v1/tracks/06yzME6dtXmBFO4DB5rVaT
root - INFO - Track: 6EjWezCHHgaqxpQYhLSlP7. Link: https://api.spotify.com/v1/tracks/6EjWezCHHgaqxpQYhLSlP7
root - INFO - Track: 2wHCe9ru5uJ2qSRIHfBwbk. Link: https://api.spotify.com/v1/tracks/2wHCe9ru5uJ2qSRIHfBwbk
root - INFO - Track: 0AuM6Fku5nWZ0CM21YEzty. Link: https://api.spotify.com/v1/tracks/0AuM6Fku5nWZ0CM21YEzty
root - INFO - Track: 73U40I3EmKz8Wh6PJaihJ0. Link: https://api.spotify.com/v1/tracks/73U40I3EmKz8Wh6PJaihJ0
root - INFO - Track: 6g9JgnMV5bFM2D7FKfeEEl. Link: https://api.spotify.com/v1/tracks/6g9JgnMV5bFM2D7FKfeEEl
root - INFO - Track: 3S80BeZOHtVw59qop6i4bv. Link: https://api.spotify.com/v1/tracks/3S80BeZOHtVw59qop6i4bv
root - INFO - Track: 1HvSfBuqF7C5QfJonQpKG8. Link: https://api.spotify.com/v1/tracks/1HvSfBuqF7C5QfJonQpKG8
root - INFO - Track: 3nK79pq1gR8xYh1F63OLlY. Link: https://api.spotify.com/v1/tracks/3nK79pq1gR8xYh1F63OLlY
root - INFO - Track: 7snQQk1zcKl8gZ92AnueZW. Link: https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW
root - INFO - Track: 0G21yYKMZoHa30cYVi1iA8. Link: https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8
root - INFO - Track: 0vfPEfQk0ZCHExTZ007Ryr. Link: https://api.spotify.com/v1/tracks/0vfPEfQk0ZCHExTZ007Ryr
root - INFO - Track: 3YRCqOhFifThpSRFJ1VWFM. Link: https://api.spotify.com/v1/tracks/3YRCqOhFifThpSRFJ1VWFM
root - INFO - Track: 6eN1f9KNmiWEhpE2RhQqB5. Link: https://api.spotify.com/v1/tracks/6eN1f9KNmiWEhpE2RhQqB5
root - INFO - Track: 2N2yrmodOnVF10mKvItC9P. Link: https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P
